data,汇率
2020-12-02,6.5622
2020-12-03,6.5418
2020-12-04,6.5301
2020-12-05,6.5301
2020-12-06,6.5301
2020-12-07,6.5295
2020-12-08,6.5307
2020-12-09,6.5410
2020-12-10,6.5419
2020-12-11,6.5445
2020-12-12,6.5445
2020-12-13,6.5445
2020-12-14,6.5480
2020-12-15,6.5388
2020-12-16,6.5323
2020-12-17,6.5321
2020-12-18,6.5395
2020-12-19,6.5395
2020-12-20,6.5395
2020-12-21,6.5493
2020-12-22,6.5426
2020-12-23,6.5400
2020-12-24,6.5400
2020-12-25,6.5400
2020-12-26,6.5400
2020-12-27,6.5400
2020-12-28,6.5346
2020-12-29,6.5300
2020-12-30,6.5208
2020-12-31,6.5250
2021-01-01,6.5250
2021-01-02,6.5250
2021-01-03,6.5250
2021-01-04,6.4601
2021-01-05,6.4550
2021-01-06,6.4617
2021-01-07,6.4760
2021-01-08,6.4750
2021-01-09,6.4750
2021-01-10,6.4750
2021-01-11,6.4795
2021-01-12,6.4610
2021-01-13,6.4677
2021-01-14,6.4736
2021-01-15,6.4800
2021-01-16,6.4800
2021-01-17,6.4800
2021-01-18,6.4800
2021-01-19,6.4777
2021-01-20,6.4777
2021-01-21,6.4595
2021-01-22,6.4810
2021-01-23,6.4810
2021-01-24,6.4810
2021-01-25,6.4784
2021-01-26,6.4635
2021-01-27,6.4822
2021-01-28,6.4491
2021-01-29,6.4282
2021-01-30,6.4282
2021-01-31,6.4282
2021-02-01,6.4669
2021-02-02,6.4570
2021-02-03,6.4614
2021-02-04,6.4715
2021-02-05,6.4664
2021-02-06,6.4664
2021-02-07,6.4664
2021-02-08,6.4475
2021-02-09,6.4344
2021-02-10,6.4576
2021-02-11,6.4567
2021-02-12,6.4567
2021-02-13,6.4567
2021-02-14,6.4567
2021-02-15,6.4567
2021-02-16,6.4567
2021-02-17,6.4567
2021-02-18,6.4869
2021-02-19,6.4555
2021-02-20,6.4555
2021-02-21,6.4555
2021-02-22,6.4625
2021-02-23,6.4640
2021-02-24,6.4556
2021-02-25,6.4541
2021-02-26,6.4730
2021-02-27,6.4730
2021-02-28,6.4730
2021-03-01,6.4648
2021-03-02,6.4702
2021-03-03,6.4675
2021-03-04,6.4694
2021-03-05,6.4960
2021-03-06,6.4960
2021-03-07,6.4960
2021-03-08,6.5250
2021-03-09,6.5050
2021-03-10,6.5050
2021-03-11,6.4932
2021-03-12,6.5081
2021-03-13,6.5081
2021-03-14,6.5081
2021-03-15,6.4996
2021-03-16,6.5052
2021-03-17,6.5030
2021-03-18,6.5054
2021-03-19,6.5070
2021-03-20,6.5070
2021-03-21,6.5070
2021-03-22,6.5070
2021-03-23,6.5160
2021-03-24,6.5230
2021-03-25,6.5452
2021-03-26,6.5412
2021-03-27,6.5412
2021-03-28,6.5412
2021-03-29,6.5696
2021-03-30,6.5716
2021-03-31,6.5518
2021-04-01,6.5645
2021-04-02,6.5646
2021-04-03,6.5646
2021-04-04,6.5646
2021-04-05,6.5649
2021-04-06,6.5370
2021-04-07,6.5415
2021-04-08,6.5505
2021-04-09,6.5522
2021-04-10,6.5522
2021-04-11,6.5522
2021-04-12,6.5475
2021-04-13,6.5431
2021-04-14,6.5292
2021-04-15,6.5220
2021-04-16,6.5203
2021-04-17,6.5203
2021-04-18,6.5203
2021-04-19,6.5085
2021-04-20,6.4981
2021-04-21,6.4903
2021-04-22,6.4910
2021-04-23,6.4945
2021-04-24,6.4945
2021-04-25,6.4945
2021-04-26,6.4844
2021-04-27,6.4830
2021-04-28,6.4771
2021-04-29,6.4710
2021-04-30,6.4749
2021-05-01,6.4749
2021-05-02,6.4749
2021-05-03,6.4749
2021-05-04,6.4749
2021-05-05,6.4749
2021-05-06,6.4635
2021-05-07,6.4310
2021-05-08,6.4310
2021-05-09,6.4310
2021-05-10,6.4156
2021-05-11,6.4285
2021-05-12,6.4566
2021-05-13,6.4506
2021-05-14,6.4367
2021-05-15,6.4367
2021-05-16,6.4367
2021-05-17,6.4388
2021-05-18,6.4250
2021-05-19,6.4342
2021-05-20,6.4339
2021-05-21,6.4339
2021-05-22,6.4339
2021-05-23,6.4339
2021-05-24,6.4177
2021-05-25,6.4100
2021-05-26,6.3905
2021-05-27,6.3824
2021-05-28,6.3674
2021-05-29,6.3674
2021-05-30,6.3674
2021-05-31,6.3674
2021-06-01,6.3796
2021-06-02,6.3805
2021-06-03,6.4036
2021-06-04,6.3945
2021-06-05,6.3945
2021-06-06,6.3945
2021-06-07,6.3963
2021-06-08,6.4000
2021-06-09,6.3865
2021-06-10,6.3929
2021-06-11,6.3967
2021-06-12,6.3967
2021-06-13,6.3967
2021-06-14,6.3979
2021-06-15,6.4052
2021-06-16,6.3969
2021-06-17,6.4477
2021-06-18,6.4525
2021-06-19,6.4525
2021-06-20,6.4525
2021-06-21,6.4659
2021-06-22,6.4811
2021-06-23,6.4727
2021-06-24,6.4701
2021-06-25,6.4545
2021-06-26,6.4545
2021-06-27,6.4545
2021-06-28,6.4555
2021-06-29,6.4635
2021-06-30,6.4566
2021-07-01,6.4679
2021-07-02,6.4721
2021-07-03,6.4721
2021-07-04,6.4721
2021-07-05,6.4721
2021-07-06,6.4786
2021-07-07,6.4718
2021-07-08,6.4898
2021-07-09,6.4788
2021-07-10,6.4788
2021-07-11,6.4788
2021-07-12,6.4751
2021-07-13,6.4685
2021-07-14,6.4688
2021-07-15,6.4600
2021-07-16,6.4785
2021-07-17,6.4785
2021-07-18,6.4785
2021-07-19,6.4893
2021-07-20,6.4845
2021-07-21,6.4664
2021-07-22,6.4700
2021-07-23,6.4808
2021-07-24,6.4808
2021-07-25,6.4808
2021-07-26,6.4825
2021-07-27,6.5104
2021-07-28,6.4905
2021-07-29,6.4562
2021-07-30,6.4609
2021-07-31,6.4609
2021-08-01,6.4609
2021-08-02,6.4620
2021-08-03,6.4700
2021-08-04,6.4655
2021-08-05,6.4608
2021-08-06,6.4825
2021-08-07,6.4825
2021-08-08,6.4825
2021-08-09,6.4857
2021-08-10,6.4852
2021-08-11,6.4783
2021-08-12,6.4782
2021-08-13,6.4768
2021-08-14,6.4768
2021-08-15,6.4768
2021-08-16,6.4742
2021-08-17,6.4854
2021-08-18,6.4841
2021-08-19,6.4942
2021-08-20,6.5012
2021-08-21,6.5012
2021-08-22,6.5012
2021-08-23,6.4805
2021-08-24,6.4710
2021-08-25,6.4756
2021-08-26,6.4809
2021-08-27,6.4711
2021-08-28,6.4711
2021-08-29,6.4711
2021-08-30,6.4658
2021-08-31,6.4604
2021-09-01,6.4586
2021-09-02,6.4560
2021-09-03,6.4528
2021-09-04,6.4528
2021-09-05,6.4528
2021-09-06,6.4528
2021-09-07,6.4662
2021-09-08,6.4612
2021-09-09,6.4547
2021-09-10,6.4440
2021-09-11,6.4440
2021-09-12,6.4440
2021-09-13,6.4511
2021-09-14,6.4382
2021-09-15,6.4320
2021-09-16,6.4566
2021-09-17,6.4655
2021-09-18,6.4655
2021-09-19,6.4655
2021-09-20,6.4651
2021-09-21,6.4651
2021-09-22,6.4611
2021-09-23,6.4590
2021-09-24,6.4660
2021-09-25,6.4660
2021-09-26,6.4660
2021-09-27,6.4560
2021-09-28,6.4595
2021-09-29,6.4702
2021-09-30,6.4434
2021-10-01,6.4434
2021-10-02,6.4434
2021-10-03,6.4434
2021-10-04,6.4434
2021-10-05,6.4434
2021-10-06,6.4434
2021-10-07,6.4434
2021-10-08,6.4435
2021-10-09,6.4435
2021-10-10,6.4435
2021-10-11,6.4435
2021-10-12,6.4485
2021-10-13,6.4262
2021-10-14,6.4380
2021-10-15,6.4340
2021-10-16,6.4340
2021-10-17,6.4340
2021-10-18,6.4290
2021-10-19,6.3822
2021-10-20,6.3936
2021-10-21,6.3925
2021-10-22,6.3839
2021-10-23,6.3839
2021-10-24,6.3839
2021-10-25,6.3856
2021-10-26,6.3820
2021-10-27,6.3915
2021-10-28,6.3917
2021-10-29,6.4050
2021-10-30,6.4050
2021-10-31,6.4050
2021-11-01,6.3972
2021-11-02,6.3995
2021-11-03,6.4061
2021-11-04,6.3970
2021-11-05,6.3961
2021-11-06,6.3961
2021-11-07,6.3961
2021-11-08,6.3902
2021-11-09,6.3916
2021-11-10,6.3882
2021-11-11,6.3882
2021-11-12,6.3787
2021-11-13,6.3787
2021-11-14,6.3787
2021-11-15,6.3824
2021-11-16,6.3919
2021-11-17,6.3775
2021-11-18,6.3851
2021-11-19,6.3863
2021-11-20,6.3863
2021-11-21,6.3863
2021-11-22,6.3842
2021-11-23,6.3910
2021-11-24,6.3917
2021-11-25,6.3917
2021-11-26,6.3924
2021-11-27,6.3924
2021-11-28,6.3924
2021-11-29,6.3875
2021-11-30,6.3640
2021-12-01,6.3641
2021-12-02,6.3763
2021-12-03,6.3758
2021-12-04,6.3758
2021-12-05,6.3758
2021-12-06,6.3756
2021-12-07,6.3657
2021-12-08,6.3435
2021-12-09,6.3772
2021-12-10,6.3685
2021-12-11,6.3685
2021-12-12,6.3685
2021-12-13,6.3659
2021-12-14,6.3671
2021-12-15,6.3673
2021-12-16,6.3674
2021-12-17,6.3748
2021-12-18,6.3748
2021-12-19,6.3748
2021-12-20,6.3756
2021-12-21,6.3716
2021-12-22,6.3695
2021-12-23,6.3696
2021-12-24,6.3696
2021-12-25,6.3696
2021-12-26,6.3696
2021-12-27,6.3705
2021-12-28,6.3684
2021-12-29,6.3680
2021-12-30,6.3726
2021-12-31,6.3726
2022-01-01,6.3726
2022-01-02,6.3726
2022-01-03,6.3550
2022-01-04,6.3721
2022-01-05,6.3640
2022-01-06,6.3822
2022-01-07,6.3769
2022-01-08,6.3769
2022-01-09,6.3769
2022-01-10,6.3756
2022-01-11,6.3735
2022-01-12,6.3580
2022-01-13,6.3595
2022-01-14,6.3524
2022-01-15,6.3524
2022-01-16,6.3524
2022-01-17,6.3524
2022-01-18,6.3525
2022-01-19,6.3447
2022-01-20,6.3406
2022-01-21,6.3385
2022-01-22,6.3385
2022-01-23,6.3385
2022-01-24,6.3304
2022-01-25,6.3257
2022-01-26,6.3206
2022-01-27,6.3677
2022-01-28,6.3605
2022-01-29,6.3605
2022-01-30,6.3605
2022-01-31,6.3610
2022-02-01,6.3610
2022-02-02,6.3610
2022-02-03,6.3610
2022-02-04,6.3610
2022-02-05,6.3610
2022-02-06,6.3610
2022-02-07,6.3610
2022-02-08,6.3660
2022-02-09,6.3619
2022-02-10,6.3526
2022-02-11,6.3540
2022-02-12,6.3540
2022-02-13,6.3540
2022-02-14,6.3567
2022-02-15,6.3385
2022-02-16,6.3366
2022-02-17,6.3381
2022-02-18,6.3251
2022-02-19,6.3251
2022-02-20,6.3251
2022-02-21,6.3251
2022-02-22,6.3260
2022-02-23,6.3134
2022-02-24,6.3283
2022-02-25,6.3169
2022-02-26,6.3169
2022-02-27,6.3169
2022-02-28,6.3084
2022-03-01,6.3116
2022-03-02,6.3210
2022-03-03,6.3195
2022-03-04,6.3188
2022-03-05,6.3188
2022-03-06,6.3188
2022-03-07,6.3194
2022-03-08,6.3178
2022-03-09,6.3174
2022-03-10,6.3212
2022-03-11,6.3389
2022-03-12,6.3389
2022-03-13,6.3389
2022-03-14,6.3645
2022-03-15,6.3696
2022-03-16,6.3510
2022-03-17,6.3459
2022-03-18,6.3609
2022-03-19,6.3609
2022-03-20,6.3609
2022-03-21,6.3552
2022-03-22,6.3660
2022-03-23,6.3720
2022-03-24,6.3670
2022-03-25,6.3658
2022-03-26,6.3658
2022-03-27,6.3658
2022-03-28,6.3714
2022-03-29,6.3635
2022-03-30,6.3470
2022-03-31,6.3393
2022-04-01,6.3625
2022-04-02,6.3625
2022-04-03,6.3625
2022-04-04,6.3619
2022-04-05,6.3619
2022-04-06,6.3590
2022-04-07,6.3600
2022-04-08,6.3643
2022-04-09,6.3643
2022-04-10,6.3643
2022-04-11,6.3692
2022-04-12,6.3651
2022-04-13,6.3678
2022-04-14,6.3775
2022-04-15,6.3705
2022-04-16,6.3705
2022-04-17,6.3705
